,userid
1322,400513
1323,400654
1324,401003
1325,401641
1326,402561
1327,402582
1328,403115
1329,403590
1330,404956
1331,405811
1332,405877
1333,405983
1334,406396
1335,406614
1336,406671
1337,406871
1338,407094
1339,407266
1340,407694
1341,409213
1342,410124
1343,411084
1344,411437
1345,411518
1346,411545
1347,411877
1348,412111
1349,412797
1350,413402
1351,413828
1352,415014
1353,415033
1354,415198
1355,415340
1356,415748
1357,415812
1358,416225
1359,416380
1360,417295
1361,418788
1362,418910
1363,419036
1364,419541
1365,419589
1366,419955
1367,420066
1368,420511
1369,421333
1370,422595
1371,422950
1372,424295
1373,424418
1374,424549
1375,424696
1376,425192
1377,425287
1378,425410
1379,425858
1380,426194
1381,426269
1382,426390
1383,426394
1384,427349
1385,428047
1386,428216
1387,428256
1388,428770
1389,428797
1390,428990
1391,429074
1392,429099
1393,430442
1394,431478
1395,431634
1396,431777
1397,431963
1398,432030
1399,432325
1400,432747
1401,432835
1402,432930
1403,434422
1404,434570
1405,434644
1406,435549
1407,435843
1408,436039
1409,436058
1410,436169
1411,438009
1412,438035
1413,439256
1414,439982
1415,440204
1416,440499
1417,440715
1418,440962
1419,441481
1420,442035
1421,442231
1422,442266
1423,443253
1424,443306
1425,443489
1426,443505
1427,443532
1428,444008
1429,445380
1430,446132
1431,446349
1432,446526
1433,447001
1434,447323
1435,447769
1436,448367
1437,450199
1438,450816
1439,451460
1440,451721
1441,452029
1442,452705
1443,452895
1444,452979
1445,453052
1446,453916
1447,454140
1448,454701
1449,454787
1450,454919
1451,455020
1452,457208
1453,458311
1454,458473
1455,460103
1456,461754
1457,462101
1458,463198
1459,463214
1460,463237
1461,466966
1462,468615
1463,468997
1464,469938
1465,471406
1466,471543
1467,472950
1468,473495
1469,473847
1470,474402
1471,474850
1472,475097
1473,475249
1474,476253
1475,476549
1476,476851
1477,477428
1478,477531
1479,477958
1480,478426
1481,479530
1482,479766
1483,481223
1484,481358
1485,481671
1486,481865
1487,481998
1488,482389
1489,482841
1490,483942
1491,484018
1492,484064
1493,484346
1494,485376
1495,485641
1496,486206
1497,486214
1498,486334
1499,486392
1500,486826
1501,487609
1502,487677
1503,488178
1504,488186
1505,488207
1506,488251
1507,488352
1508,488383
1509,488871
1510,488974
1511,489887
1512,490494
1513,491554
1514,493493
1515,494644
1516,495270
1517,495903
1518,496137
1519,497292
1520,498011
1521,498179
1522,498542
1523,498681
1524,498920
1525,500680
1526,500991
1527,501016
1528,501440
1529,501763
1530,501771
1531,501912
1532,503534
1533,504302
1534,504735
1535,504737
1536,504801
1537,504862
1538,506668
1539,506865
1540,507054
1541,507064
1542,507443
1543,507562
1544,507837
1545,508234
1546,508484
1547,509032
1548,509390
1549,509730
1550,511561
1551,511923
1552,512686
1553,512857
1554,513041
1555,513315
1556,513691
1557,513697
1558,513748
1559,514540
1560,514764
1561,516096
1562,519085
1563,520410
1564,520453
1565,520707
1566,520920
1567,521369
1568,521604
1569,521692
1570,523609
1571,523950
1572,525104
1573,525672
1574,526179
1575,526563
1576,527010
1577,527568
1578,528933
1579,529328
1580,529387
1581,530417
1582,530789
1583,530938
1584,531075
1585,531379
1586,531519
1587,532009
1588,532218
1589,533569
1590,533695
1591,534129
1592,534555
1593,534963
1594,536166
1595,537538
1596,538636
1597,538845
1598,540731
1599,541729
1600,541984
1601,542152
1602,543036
1603,543106
1604,543764
1605,544110
1606,545024
1607,545124
1608,545608
1609,546173
1610,546216
1611,546235
1612,546300
1613,546573
1614,546577
1615,546763
1616,546780
1617,547062
1618,547327
1619,547801
1620,547984
1621,549206
1622,550207
1623,550825
1624,550864
1625,551655
1626,551680
1627,551869
1628,552018
1629,553596
1630,554149
1631,555271
1632,555300
1633,555897
1634,556845
1635,556984
1636,557550
1637,558261
1638,559043
1639,559922
1640,561987
1641,562196
1642,562339
1643,563147
1644,563770
1645,563847
1646,564414
1647,564454
1648,565086
1649,566247
1650,566820
1651,566841
1652,566947
1653,567177
1654,567598
1655,567763
1656,568009
1657,568370
1658,568460
1659,569548
1660,569578
1661,570619
1662,570726
1663,571126
1664,571401
1665,571689
1666,571790
1667,572260
1668,572827
1669,573772
1670,574419
1671,575079
1672,575486
1673,575489
1674,575886
1675,575960
1676,576124
1677,577433
1678,577897
1679,578024
1680,579541
1681,580241
1682,580495
1683,580807
1684,581003
